201521591;0;100000;0;7459192497;9999900000;25027
201521591;0;100000;1;0;9999900000;15059
201521591;0;100000;2;14999850000;9999900000;19355
201521591;1;20000;0;298979748;199990000;945
201521591;1;20000;1;0;199990000;391
201521591;1;20000;2;599970000;199990000;627
201521591;1;100000;0;7459192497;4999950000;25908
201521591;1;100000;1;0;4999950000;7429
201521591;1;100000;2;14999850000;4999950000;10710
201521591;1;600000;0;269919161790;179999700000;927784
201521591;1;600000;1;0;179999700000;218895
201521591;1;600000;2;539999100000;179999700000;450282
201521591;2;20000;0;298979748;199972422;1119
201521591;2;20000;1;0;19999;0
201521591;2;20000;2;599970000;199990000;1165
201521591;2;40000;0;1194960702;799962422;3911
201521591;2;40000;1;0;39999;0
201521591;2;40000;2;2399940000;799980000;1924
201521591;2;200000;0;29940903183;19999869372;112673
201521591;2;200000;1;0;199999;2
201521591;2;200000;2;59999700000;19999900000;63464
201521591;2;800000;0;479911595523;319998904390;1641210
201521591;2;800000;1;0;799999;2
201521591;2;800000;2;959998800000;319999600000;1025695
201521591;7;5000;0;50545;86379;2
201521591;7;5000;1;11808;57726;0
201521591;7;5000;2;19309;57738;0
201521591;7;100000;0;1330253;2200697;16
201521591;7;100000;1;262140;1600016;4
201521591;7;100000;2;412137;1600030;3
201521591;7;6000000;0;104625226;179470654;880
201521591;7;6000000;1;15611392;131417112;157
201521591;7;6000000;2;24611393;131417134;163
201521591;7;10000000;0;179196506;312353176;1858
201521591;7;10000000;1;23222784;224834201;261
201521591;7;10000000;2;38222785;224834224;270
201521591;12;5000;0;74563;107722;3
201521591;12;5000;1;78429;112186;1
201521591;12;5000;2;70933;103264;1
201521591;12;600000;0;13092344;21203474;87
201521591;12;600000;1;13528701;21768310;46
201521591;12;600000;2;12656837;20709872;46
201521591;12;10000000;0;258836222;434643622;3753
201521591;12;10000000;1;266881705;445163384;2011
201521591;12;10000000;2;251912425;426935030;2022
